"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""Country = MEXICO""]"																																						
	1475								"MEXICO:  MEXICO CITY"													3		3		3								3		3		3
	1523								"MEXICO:  VERACRUZ"	19.2	-96.4											3												3				
	1537						167		"MEXICO:  SOUTHERN"													3												3				
	1538								"MEXICO:  MEXICO CITY"	19.2	-99.1											3												3				
	1542	3	17						"MEXICO:  MEXICO CITY"	19.2	-99.1											3																
	1568	12	27						"MEXICO:  COCULA,JALISCO"	20.2	-103.5				60	2						3					60	2						3				
	1573								"MEXICO:  COLIMA"	19.2	-104											3												3				
	1603								"MEXICO:  OAXACA, MIXTECA"	18	-92.5											3		3										3		3		
	1604	3				0			"MEXICO:  OAXACA"	17	-96.3											3																
	1608	1	8			0			"MEXICO:  OAXACA"	17	-96.3											3																
	1611	8	25			0			"MEXICO:  MEXICO CITY,JALISCO"	19.5	-99.1																											
	1611	9	25			0			"MEXICO"	19.5	-99.1											3																
	1619	2	13						"MEXICO:  OAXACA"	17	-96.3											3																
	1622	5	6			0			"MEXICO:  ZACATECAS"	23	-103											3																
	1662	6	7			0			"MEXICO:  OAXACA"	17	-96.3											3																
	1667	7	30						"MEXICO:  PUEBLA"	18.8	-98											3																
	1682					0			"MEXICO:  OAXACA,MEXICO CITY"	17	-96.3											3																
	1697	2	25						"MEXICO:  MEXICO CITY,ACAPULCO"	16.7	-99.2											3																
	1701	12	21			0			"MEXICO:  OAXACA"	16.5	-97											3																
	1711	8	16						"MEXICO:  MEXICO CITY, COLIMA, GUADALAJARA"	19.2	-103.7					2						3						2						3				
	1714	5	5			0			"MEXICO:  OAXACA"	17	-96.3											3																
	1716	2	16						"MEXICO:  BAJA CALIFORNIA"	29	-114											3																
	1727	3	10			0			"MEXICO:  MEXICO CITY,OAXACA"	19.2	-99.1											3																
	1731	11	15			0			"MEXICO"	23	-102				1	1						3																
	1732	2	25				404		"S. MEXICO"	16.8	-99.9											3		3										3		3		
	1739	7	14			0			"MEXICO:  COLIMA"	19.2	-104											3																
	1740	8	25			0			"MEXICO:  OAXACA,MEXICO CITY"	17	-96.3											3																
	1749								"MEXICO:  COLIMA, GUADALAJARA, MEXICO CITY"	20.7	-103.3											3		3										3		3		
	1750								"MEXICO:  COLIMA, GUADALAJARA, MEXICO CITY"	20.7	-103.3											3		3										3		3		
	1754	9	1	7	0		452		"MEXICO:  ACAPULCO"	16.8	-99.2											3		3										3		3		
	1759	6	29			0			"MEXICO:  JORULLO"	19.5	-102.3											3																
	1774	11	6						"MEXICO:  JALISCO,ZACATECAS"	22.04	-103.73			9								2				4								2				4
	1776	4	21						"MEXICO:  GUERRERO,MORELOS,OAXACA,MEXICO CITY"	16.7	-99.2											3																
	1777					0			"MEXICO:  JALISCO"	20.3	-103.7											3																
	1784	3	28				539		"MEXICO:  GUERRERO, ACAPULCO"	16.9	-99.9					1						3						1						3				
	1784	4	2			0			"MEXICO:  OAXACA"	17	-96.3											3																
	1787	3	28	17	30		544		"MEXICO:  SAN MARCOS, OAXACA"	16.5	-98.5		8.3									3		3			11	1				1		3		3		
	1787	4	3	15	30		545		"MEXICO:  SAN MARCOS, OAXACA"	15.5	-97		7.3									2												2				
	1795	5	23						"MEXICO:  OAXACA"	17	-96.3											3																
	1800	3	8			0			"MEXICO:  MEXICO CITY,OAXACA"	19.2	-99.1											3																
	1801	5	5			0			"MEXICO:  OAXACA"	17	-96.3				7	1						3																
	1806	3	25						"MEXICO:  JALISCO,OAXACA,MICHOACAN"	18.9	-103.8		7.5			3												3										
	1810	8	27				5702		"MEXICO:  BAJA CALIFORNIA: LORETO"	26	-111.35		7.4	9								2		1		1								2		1		1
	1815	5	3			0			"MEXICO:  OAXACA,TAMAZULAPAN"	17	-96.3											3																
	1818	3	31						"MEXICO"	19.1	-103.6		7.5																									
	1818	5	31			0			"MEXICO:  MORELOS-GUERRERO,MEXICO CITY,GUADALAJARA"	19.2	-99.1											3																
	1820	5	4				633		"MEXICO:  GUERRERO, OAXACA, PUEBLA, VERACRUZ"	17.2	-99.6		7.6									3												3				
	1830	1				0			"MEXICO:  OAXACA"	17	-96.3											3																
	1833	3	10				680		"S. MEXICO"	16.8	-99.9																											
	1834	3	14				685		"MEXICO:  ACAPULCO"	16.8	-99.9		7																					1		2		
