YEAR,MONTH,DAY,Damaged
1954,2,5,178.340
1957,7,28,248.360
1964,7,6,27.120
1968,8,2,19.280
1979,3,14,120.840
1980,10,24,16.580
1982,3,28,9.820
1985,9,19,10654.030
1995,9,14,38.720
1999,6,15,383.660
1999,9,30,275.960
2001,10,7,4.900
2002,6,10,0.020
2002,9,27,0.230
2003,1,21,184.120
2003,1,22,179.950
2008,2,12,1.260
2009,4,27,2.580
2009,10,29,3.710
2010,4,4,1483.060
2011,12,10,3.510
2012,3,20,735.370
2012,11,15,2.470
2013,8,21,16.170
2014,4,18,58.580
2014,7,7,145.100
2017,9,8,4556.340
2017,9,17,6834.510
2017,9,19,9112.690
2020,6,23,81.790
2021,9,8,204.990
